date,item_name,total_amount_sold
2023-02-13,BLACK VELVET,5469
2024-01-12,BLACK VELVET,1085
2023-01-17,BLACK VELVET,3616
2023-01-20,BLACK VELVET,2948
2023-06-14,BLACK VELVET,3153
2024-02-27,BLACK VELVET,9812
2023-11-24,BLACK VELVET,4176
2023-09-01,BLACK VELVET,5624
2023-06-19,BLACK VELVET,3693
2023-11-25,BLACK VELVET,107
2023-05-12,BLACK VELVET,5833
2023-08-25,BLACK VELVET,5364
2023-10-25,BLACK VELVET,3726
2023-08-23,BLACK VELVET,3266
2023-02-06,BLACK VELVET,7127
2023-12-19,BLACK VELVET,5736
2023-08-04,BLACK VELVET,4276
2023-01-29,BLACK VELVET,126
2024-01-28,BLACK VELVET,682
2023-04-07,BLACK VELVET,4180
2023-11-29,BLACK VELVET,2441
2023-01-05,BLACK VELVET,3494
2023-07-19,BLACK VELVET,3259
2024-02-19,BLACK VELVET,5459
2023-09-27,BLACK VELVET,3260
2024-03-03,BLACK VELVET,422
2023-03-28,BLACK VELVET,4347
2023-11-18,BLACK VELVET,936
2024-01-26,BLACK VELVET,2548
2023-07-23,BLACK VELVET,18
2023-01-04,BLACK VELVET,3450
2023-04-17,BLACK VELVET,3408
2023-02-09,BLACK VELVET,8542
2023-01-11,BLACK VELVET,2559
2023-08-09,BLACK VELVET,3851
2023-08-15,BLACK VELVET,4413
2023-02-12,BLACK VELVET,48
2023-11-16,BLACK VELVET,3259
2023-07-12,BLACK VELVET,4956
2023-08-03,BLACK VELVET,2488
2023-06-03,BLACK VELVET,4097
2024-03-20,BLACK VELVET,3254
2024-03-27,BLACK VELVET,3721
2023-07-31,BLACK VELVET,2899
2023-06-23,BLACK VELVET,5150
2023-07-17,BLACK VELVET,5118
2024-02-11,BLACK VELVET,2964
2023-12-03,BLACK VELVET,1416
2023-12-18,BLACK VELVET,4438
2023-09-05,BLACK VELVET,4135
2024-02-20,BLACK VELVET,3732
2023-02-20,BLACK VELVET,4276
2023-02-22,BLACK VELVET,4181
2023-12-08,BLACK VELVET,865
2023-02-23,BLACK VELVET,10010
2023-10-04,BLACK VELVET,5186
2023-11-07,BLACK VELVET,4431
2023-09-21,BLACK VELVET,2934
2023-10-13,BLACK VELVET,3805
2023-11-27,BLACK VELVET,2650
2023-01-30,BLACK VELVET,4012
2023-10-17,BLACK VELVET,6524
2024-03-14,BLACK VELVET,3258
2023-09-11,BLACK VELVET,3286
2023-09-22,BLACK VELVET,5868
2024-03-05,BLACK VELVET,2553
2023-10-10,BLACK VELVET,5786
2023-08-11,BLACK VELVET,4243
2023-05-05,BLACK VELVET,10560
2023-12-05,BLACK VELVET,7466
2023-04-28,BLACK VELVET,4608
2023-09-29,BLACK VELVET,4944
2023-06-13,BLACK VELVET,3598
2023-07-06,BLACK VELVET,8401
2024-01-10,BLACK VELVET,3742
2023-07-21,BLACK VELVET,6154
2024-01-22,BLACK VELVET,3909
2023-04-04,BLACK VELVET,3694
2024-01-31,BLACK VELVET,3441
2023-04-13,BLACK VELVET,3042
2023-05-23,BLACK VELVET,10273
2023-06-12,BLACK VELVET,3102
2023-11-11,BLACK VELVET,2851
2024-03-06,BLACK VELVET,3180
2023-12-29,BLACK VELVET,4049
2023-07-24,BLACK VELVET,4211
2023-05-25,BLACK VELVET,5689
2024-02-29,BLACK VELVET,3004
2023-12-28,BLACK VELVET,5777
2023-03-08,BLACK VELVET,3081
2023-11-10,BLACK VELVET,1331
2023-03-03,BLACK VELVET,5717
2023-05-21,BLACK VELVET,36
2023-12-10,BLACK VELVET,2026
2023-12-01,BLACK VELVET,4171
2023-03-02,BLACK VELVET,2004
2024-02-07,BLACK VELVET,6009
2024-02-01,BLACK VELVET,2773
2023-10-15,BLACK VELVET,2154
2023-09-06,BLACK VELVET,8730
2024-01-25,BLACK VELVET,3596
2023-11-06,BLACK VELVET,1518
2023-04-09,BLACK VELVET,6
2023-04-24,BLACK VELVET,3402
2024-02-28,BLACK VELVET,4787
2023-11-17,BLACK VELVET,4607
2023-02-10,BLACK VELVET,6481
2023-08-08,BLACK VELVET,3158
2023-04-27,BLACK VELVET,3065
2023-08-16,BLACK VELVET,3376
2024-02-26,BLACK VELVET,4431
2023-10-18,BLACK VELVET,2659
2023-10-19,BLACK VELVET,5115
2023-03-14,BLACK VELVET,3477
2023-06-15,BLACK VELVET,3470
2023-01-02,BLACK VELVET,74
2023-06-07,BLACK VELVET,3117
2023-08-29,BLACK VELVET,5281
2024-01-14,BLACK VELVET,2412
2023-02-01,BLACK VELVET,5018
2023-04-21,BLACK VELVET,4558
2024-01-11,BLACK VELVET,2349
2023-05-19,BLACK VELVET,6046
2023-03-21,BLACK VELVET,3140
2023-08-21,BLACK VELVET,3249
2023-10-06,BLACK VELVET,5194
2024-02-16,BLACK VELVET,2426
2023-10-30,BLACK VELVET,5707
2023-07-08,BLACK VELVET,3891
2023-08-18,BLACK VELVET,5297
2023-08-30,BLACK VELVET,2570
2024-02-15,BLACK VELVET,3532
2023-08-17,BLACK VELVET,2778
2023-07-10,BLACK VELVET,3358
2023-12-22,BLACK VELVET,5253
2023-01-08,BLACK VELVET,2464
2023-02-27,BLACK VELVET,4197
2024-01-09,BLACK VELVET,3159
2023-04-10,BLACK VELVET,3883
2023-09-07,BLACK VELVET,10448
2024-03-10,BLACK VELVET,1710
2023-05-01,BLACK VELVET,5031
2023-10-09,BLACK VELVET,2995
2023-08-24,BLACK VELVET,2942
2023-05-09,BLACK VELVET,6475
2023-06-01,BLACK VELVET,3963
2023-06-05,BLACK VELVET,2401
2023-02-24,BLACK VELVET,8313
2023-04-20,BLACK VELVET,3067
2023-05-17,BLACK VELVET,4502
2023-09-28,BLACK VELVET,2962
2023-03-13,BLACK VELVET,3257
2023-06-30,BLACK VELVET,5461
2023-02-15,BLACK VELVET,3813
2023-11-21,BLACK VELVET,5246
2023-04-05,BLACK VELVET,3172
2023-10-03,BLACK VELVET,5587
2024-02-18,BLACK VELVET,711
2023-12-26,BLACK VELVET,2021
2024-01-05,BLACK VELVET,4101
2024-01-08,BLACK VELVET,3284
2023-09-13,BLACK VELVET,5346
2024-03-28,BLACK VELVET,2543
2023-06-02,BLACK VELVET,3014
2023-01-03,BLACK VELVET,3339
2024-03-18,BLACK VELVET,3003
2023-01-10,BLACK VELVET,3816
2023-09-09,BLACK VELVET,6114
2023-11-05,BLACK VELVET,2032
2023-10-26,BLACK VELVET,2488
2023-03-22,BLACK VELVET,3011
2023-02-07,BLACK VELVET,12513
2023-12-07,BLACK VELVET,8794
2024-01-17,BLACK VELVET,3862
2024-01-16,BLACK VELVET,4821
2023-11-19,BLACK VELVET,2745
2023-01-15,BLACK VELVET,24
2023-03-07,BLACK VELVET,3756
2023-02-14,BLACK VELVET,5717
2023-11-01,BLACK VELVET,2374
2023-09-14,BLACK VELVET,3293
2024-02-02,BLACK VELVET,4396
2023-09-18,BLACK VELVET,3497
2023-03-31,BLACK VELVET,4961
2024-03-21,BLACK VELVET,3294
2023-08-22,BLACK VELVET,3644
2023-10-24,BLACK VELVET,3988
2023-01-18,BLACK VELVET,2686
2023-09-02,BLACK VELVET,8
2023-11-08,BLACK VELVET,3377
2023-10-20,BLACK VELVET,2376
2024-01-21,BLACK VELVET,460
2023-01-25,BLACK VELVET,3711
2023-10-23,BLACK VELVET,3530
2023-12-11,BLACK VELVET,6444
2023-12-13,BLACK VELVET,4781
2023-03-10,BLACK VELVET,4243
2024-03-19,BLACK VELVET,3864
2023-09-12,BLACK VELVET,5310
2024-01-19,BLACK VELVET,2678
2024-02-05,BLACK VELVET,4315
2023-03-17,BLACK VELVET,4296
2023-08-28,HAWKEYE VODKA,1623
2023-08-29,HAWKEYE VODKA,4845
2023-11-25,HAWKEYE VODKA,90
2024-01-28,HAWKEYE VODKA,537
2023-11-29,HAWKEYE VODKA,2366
2023-03-17,HAWKEYE VODKA,3636
2024-01-05,HAWKEYE VODKA,3420
2023-02-16,HAWKEYE VODKA,1422
2023-12-14,HAWKEYE VODKA,1798
2023-01-20,HAWKEYE VODKA,3431
2023-08-30,HAWKEYE VODKA,2746
2023-12-04,HAWKEYE VODKA,1346
2023-04-27,HAWKEYE VODKA,2194
2023-04-14,HAWKEYE VODKA,3560
2023-11-03,HAWKEYE VODKA,2476
2023-02-01,HAWKEYE VODKA,2766
2023-01-25,HAWKEYE VODKA,2132
2023-03-21,HAWKEYE VODKA,2793
2023-03-02,HAWKEYE VODKA,1450
2023-07-23,HAWKEYE VODKA,6
2024-03-19,HAWKEYE VODKA,3587
2023-07-03,HAWKEYE VODKA,3159
2023-07-31,HAWKEYE VODKA,1621
2023-02-24,HAWKEYE VODKA,3976
2023-08-02,HAWKEYE VODKA,3565
2023-11-12,HAWKEYE VODKA,750
2023-09-01,HAWKEYE VODKA,3571
2023-11-28,HAWKEYE VODKA,2461
2023-09-09,HAWKEYE VODKA,3157
2024-01-03,HAWKEYE VODKA,3559
2023-03-10,HAWKEYE VODKA,3311
2023-11-21,HAWKEYE VODKA,4620
2023-01-31,HAWKEYE VODKA,2425
2023-10-26,HAWKEYE VODKA,2043
2023-12-30,HAWKEYE VODKA,2003
2023-10-12,HAWKEYE VODKA,2046
2024-02-01,HAWKEYE VODKA,1991
2023-08-14,HAWKEYE VODKA,2610
2023-04-21,HAWKEYE VODKA,3469
2023-01-24,HAWKEYE VODKA,3127
2023-06-20,HAWKEYE VODKA,3467
2024-02-28,HAWKEYE VODKA,3495
2024-03-04,HAWKEYE VODKA,1630
2023-06-26,HAWKEYE VODKA,1383
2023-11-22,HAWKEYE VODKA,3836
2023-11-02,HAWKEYE VODKA,2449
2023-05-17,HAWKEYE VODKA,2272
2023-02-08,HAWKEYE VODKA,2131
2023-07-27,HAWKEYE VODKA,1811
2023-03-28,HAWKEYE VODKA,3640
2023-10-03,HAWKEYE VODKA,2636
2023-06-30,HAWKEYE VODKA,4026
2024-02-08,HAWKEYE VODKA,3911
2023-07-11,HAWKEYE VODKA,3229
2023-08-04,HAWKEYE VODKA,3698
2023-03-06,HAWKEYE VODKA,2917
2024-02-21,HAWKEYE VODKA,3283
2024-01-04,HAWKEYE VODKA,2492
2024-03-11,HAWKEYE VODKA,2408
2023-04-07,HAWKEYE VODKA,3216
2024-02-07,HAWKEYE VODKA,4161
2023-01-08,HAWKEYE VODKA,2247
2023-04-10,HAWKEYE VODKA,2451
2023-05-26,HAWKEYE VODKA,3791
2023-01-12,HAWKEYE VODKA,1671
2024-02-05,HAWKEYE VODKA,1820
2023-12-26,HAWKEYE VODKA,1944
2023-01-10,HAWKEYE VODKA,3085
2023-09-25,HAWKEYE VODKA,1308
2023-10-18,HAWKEYE VODKA,2979
2023-10-22,HAWKEYE VODKA,1702
2023-09-19,HAWKEYE VODKA,3137
2023-07-26,HAWKEYE VODKA,3151
2023-09-15,HAWKEYE VODKA,3318
2023-07-18,HAWKEYE VODKA,2927
2024-01-07,HAWKEYE VODKA,140
2024-03-18,HAWKEYE VODKA,2807
2023-12-05,HAWKEYE VODKA,3143
2023-07-13,HAWKEYE VODKA,1486
2023-06-06,HAWKEYE VODKA,4037
2023-03-20,HAWKEYE VODKA,2605
2024-03-20,HAWKEYE VODKA,2576
2024-03-21,HAWKEYE VODKA,2387
2023-09-13,HAWKEYE VODKA,3844
2023-05-23,HAWKEYE VODKA,4143
2024-02-12,HAWKEYE VODKA,2282
2023-09-26,HAWKEYE VODKA,4678
2023-02-13,HAWKEYE VODKA,2691
2023-03-08,HAWKEYE VODKA,2929
2024-01-29,HAWKEYE VODKA,2168
2023-05-31,HAWKEYE VODKA,2561
2023-05-12,HAWKEYE VODKA,3822
2023-08-31,HAWKEYE VODKA,2822
2023-02-10,HAWKEYE VODKA,3439
2023-01-27,HAWKEYE VODKA,4025
2023-10-10,HAWKEYE VODKA,3590
2023-09-29,HAWKEYE VODKA,3740
2024-03-13,HAWKEYE VODKA,2767
2023-09-14,HAWKEYE VODKA,1901
2023-12-07,HAWKEYE VODKA,3673
2023-03-16,HAWKEYE VODKA,1749
2023-05-21,HAWKEYE VODKA,60
2023-12-11,HAWKEYE VODKA,2814
2023-07-10,HAWKEYE VODKA,2839
2023-02-14,HAWKEYE VODKA,1788
2024-02-23,HAWKEYE VODKA,1268
2023-01-18,HAWKEYE VODKA,2898
2023-09-08,HAWKEYE VODKA,2140
2023-08-01,HAWKEYE VODKA,3806
2023-05-22,HAWKEYE VODKA,3362
2023-08-23,HAWKEYE VODKA,2380
2023-08-03,HAWKEYE VODKA,2612
2023-04-17,HAWKEYE VODKA,3331
2023-09-27,HAWKEYE VODKA,2626
2023-09-12,HAWKEYE VODKA,2531
2023-11-01,HAWKEYE VODKA,2002
2023-01-23,HAWKEYE VODKA,2904
2023-08-16,HAWKEYE VODKA,2626
2023-06-02,HAWKEYE VODKA,1774
2023-06-05,HAWKEYE VODKA,2402
2023-12-28,HAWKEYE VODKA,2600
2023-03-23,HAWKEYE VODKA,1996
2023-08-07,HAWKEYE VODKA,2927
2024-03-25,HAWKEYE VODKA,1989
2023-04-25,HAWKEYE VODKA,2714
2023-03-30,HAWKEYE VODKA,1569
2023-01-30,HAWKEYE VODKA,2610
2024-03-14,HAWKEYE VODKA,2688
2023-05-01,HAWKEYE VODKA,2146
2023-12-03,HAWKEYE VODKA,1284
2024-01-09,HAWKEYE VODKA,3124
2023-09-11,HAWKEYE VODKA,2542
2023-09-07,HAWKEYE VODKA,2012
2024-03-08,HAWKEYE VODKA,2116
2023-06-08,HAWKEYE VODKA,3101
2023-06-19,HAWKEYE VODKA,3301
2023-10-04,HAWKEYE VODKA,2657
2023-11-17,HAWKEYE VODKA,3327
2023-04-13,HAWKEYE VODKA,2200
2024-01-18,HAWKEYE VODKA,1901
2023-09-02,HAWKEYE VODKA,6
2024-01-21,HAWKEYE VODKA,492
2023-02-20,HAWKEYE VODKA,2489
2024-02-26,HAWKEYE VODKA,2749
2024-03-24,HAWKEYE VODKA,494
2023-08-08,HAWKEYE VODKA,2292
2023-10-13,HAWKEYE VODKA,2414
2023-10-30,HAWKEYE VODKA,2459
2023-12-06,HAWKEYE VODKA,3382
2023-02-22,HAWKEYE VODKA,1444
2024-01-12,HAWKEYE VODKA,1098
2023-06-21,HAWKEYE VODKA,2584
2024-01-10,HAWKEYE VODKA,3292
2023-12-01,HAWKEYE VODKA,2732
2023-02-23,HAWKEYE VODKA,4167
2023-03-07,HAWKEYE VODKA,2906
2023-08-15,HAWKEYE VODKA,2958
2023-06-09,HAWKEYE VODKA,4354
2023-12-16,HAWKEYE VODKA,593
2024-02-22,HAWKEYE VODKA,2685
2023-03-22,HAWKEYE VODKA,2386
2023-03-27,HAWKEYE VODKA,2481
2023-12-21,HAWKEYE VODKA,1989
2023-06-13,HAWKEYE VODKA,3519
2024-02-27,HAWKEYE VODKA,3353
2023-12-19,HAWKEYE VODKA,4344
2023-11-05,HAWKEYE VODKA,1318
2023-12-22,HAWKEYE VODKA,3838
2023-09-06,HAWKEYE VODKA,2725
2023-02-02,HAWKEYE VODKA,1958
2023-09-18,HAWKEYE VODKA,2954
2023-01-05,HAWKEYE VODKA,2580
2023-04-26,HAWKEYE VODKA,2652
2024-01-22,HAWKEYE VODKA,3334
2023-04-19,HAWKEYE VODKA,2331
2023-09-21,HAWKEYE VODKA,2270
2023-01-26,HAWKEYE VODKA,1706
2023-01-29,HAWKEYE VODKA,22
2024-01-23,HAWKEYE VODKA,2403
2023-04-03,HAWKEYE VODKA,2432
2024-02-20,HAWKEYE VODKA,2754
2024-03-26,HAWKEYE VODKA,3837
2023-02-27,HAWKEYE VODKA,2484
2023-10-25,HAWKEYE VODKA,2104
2023-02-15,HAWKEYE VODKA,1697
2023-02-21,HAWKEYE VODKA,3387
2023-11-14,HAWKEYE VODKA,4205
2023-08-22,HAWKEYE VODKA,3202
2023-11-15,HAWKEYE VODKA,2394
2023-03-09,HAWKEYE VODKA,2359
2024-01-25,HAWKEYE VODKA,3011
2023-04-20,HAWKEYE VODKA,2326
2023-07-08,HAWKEYE VODKA,2058
2024-01-24,HAWKEYE VODKA,2379
2023-11-08,HAWKEYE VODKA,3435
2023-11-19,HAWKEYE VODKA,2234
2023-01-17,HAWKEYE VODKA,2619
2024-01-19,HAWKEYE VODKA,1641
2023-03-03,HAWKEYE VODKA,3827
2023-10-17,HAWKEYE VODKA,3565
2023-10-11,HAWKEYE VODKA,3656
2023-09-05,HAWKEYE VODKA,2610
2023-07-07,HAWKEYE VODKA,2834
2023-12-08,HAWKEYE VODKA,756
2024-02-18,HAWKEYE VODKA,455
2023-05-30,HAWKEYE VODKA,2806
2023-05-04,HAWKEYE VODKA,2020
2023-06-12,HAWKEYE VODKA,2885
2023-03-29,HAWKEYE VODKA,2638
2024-03-12,HAWKEYE VODKA,3685
2023-11-16,HAWKEYE VODKA,2418
2023-06-28,HAWKEYE VODKA,3670
2023-06-14,HAWKEYE VODKA,2862
2024-01-26,HAWKEYE VODKA,2527
2024-01-30,HAWKEYE VODKA,3467
2023-10-31,HAWKEYE VODKA,3430
2024-02-15,HAWKEYE VODKA,1880
2023-02-03,HAWKEYE VODKA,4472
2023-02-09,HAWKEYE VODKA,3700
2023-02-28,HAWKEYE VODKA,2779
2023-03-31,HAWKEYE VODKA,3580
2023-04-28,HAWKEYE VODKA,3749
2023-11-13,HAWKEYE VODKA,1526
2024-03-05,HAWKEYE VODKA,1977
2023-05-18,HAWKEYE VODKA,2087
2023-10-06,HAWKEYE VODKA,4036
2023-11-11,HAWKEYE VODKA,2475
2023-01-11,HAWKEYE VODKA,2444
2024-01-01,HAWKEYE VODKA,12
2023-06-16,HAWKEYE VODKA,4555
2023-01-09,HAWKEYE VODKA,2756
2023-12-09,HAWKEYE VODKA,2766
2024-03-06,HAWKEYE VODKA,3286
2023-04-24,HAWKEYE VODKA,3121
2023-09-20,HAWKEYE VODKA,2261
2023-05-10,HAWKEYE VODKA,2581
2023-05-24,HAWKEYE VODKA,2944
2023-11-09,HAWKEYE VODKA,2654
2023-07-21,HAWKEYE VODKA,3341
2023-10-02,HAWKEYE VODKA,2143
2023-01-19,HAWKEYE VODKA,1997
2023-07-12,HAWKEYE VODKA,2596
2023-07-14,HAWKEYE VODKA,3550
2023-12-12,HAWKEYE VODKA,3336
2023-05-16,HAWKEYE VODKA,3066
2023-06-03,HAWKEYE VODKA,2630
2024-03-15,HAWKEYE VODKA,2084
2024-03-07,HAWKEYE VODKA,1940
2024-01-17,HAWKEYE VODKA,2543
2023-01-02,HAWKEYE VODKA,80
2023-10-15,HAWKEYE VODKA,1655
2023-11-23,HAWKEYE VODKA,284
2023-05-25,HAWKEYE VODKA,1967
2023-04-05,HAWKEYE VODKA,3370
2023-06-29,HAWKEYE VODKA,3392
2023-12-20,HAWKEYE VODKA,3265
2023-03-24,HAWKEYE VODKA,3364
2023-08-10,HAWKEYE VODKA,2139
2023-02-17,HAWKEYE VODKA,3223
2023-04-04,HAWKEYE VODKA,3035
2023-03-15,HAWKEYE VODKA,2198
2023-07-25,HAWKEYE VODKA,2974
2023-10-23,HAWKEYE VODKA,2661
2024-03-01,HAWKEYE VODKA,3730
2023-08-25,HAWKEYE VODKA,4621
2023-08-17,HAWKEYE VODKA,2054
2024-01-14,HAWKEYE VODKA,2036
2024-03-10,HAWKEYE VODKA,1046
2024-02-09,HAWKEYE VODKA,2049
2023-07-20,HAWKEYE VODKA,1995
2024-01-16,HAWKEYE VODKA,3455
2023-04-06,HAWKEYE VODKA,3407
2024-02-02,HAWKEYE VODKA,2724
2023-01-06,HAWKEYE VODKA,2281
2023-06-07,HAWKEYE VODKA,2677
2023-11-20,HAWKEYE VODKA,1373
2023-08-09,HAWKEYE VODKA,2851
2023-10-16,HAWKEYE VODKA,1570
2023-10-24,HAWKEYE VODKA,3513
2023-07-17,HAWKEYE VODKA,3229
2024-03-28,HAWKEYE VODKA,1871
2024-02-14,HAWKEYE VODKA,3407
2023-08-21,HAWKEYE VODKA,2352
2024-02-13,HAWKEYE VODKA,2480
2023-12-13,HAWKEYE VODKA,3068
2023-06-01,HAWKEYE VODKA,3142
2023-03-14,HAWKEYE VODKA,2866
2024-03-22,HAWKEYE VODKA,3395
2023-04-18,HAWKEYE VODKA,3503
2023-08-11,HAWKEYE VODKA,3392
2023-05-05,HAWKEYE VODKA,3026
2023-04-12,HAWKEYE VODKA,2588
2023-07-05,HAWKEYE VODKA,1991
2023-10-20,HAWKEYE VODKA,1756
2023-09-28,HAWKEYE VODKA,1641
2023-09-04,HAWKEYE VODKA,6
2023-12-10,HAWKEYE VODKA,1210
2023-10-05,HAWKEYE VODKA,1951
2023-11-07,HAWKEYE VODKA,3786
2023-01-13,HAWKEYE VODKA,3303
2024-01-15,HAWKEYE VODKA,2270
2024-03-17,HAWKEYE VODKA,1203
2023-08-18,HAWKEYE VODKA,3743
2024-02-29,HAWKEYE VODKA,1882
2024-01-08,HAWKEYE VODKA,2518
2023-10-09,HAWKEYE VODKA,2682
2023-06-27,HAWKEYE VODKA,4050
2023-05-15,HAWKEYE VODKA,2312
2023-03-26,HAWKEYE VODKA,6
2023-10-27,HAWKEYE VODKA,4061
2024-03-27,HAWKEYE VODKA,2940
2023-07-28,HAWKEYE VODKA,3512
2023-05-19,HAWKEYE VODKA,4661
2024-02-04,HAWKEYE VODKA,1185
2023-05-11,HAWKEYE VODKA,2550
2023-05-02,HAWKEYE VODKA,2792
2024-01-02,HAWKEYE VODKA,2325
2024-02-25,HAWKEYE VODKA,1368
2023-02-06,HAWKEYE VODKA,2512
2023-04-11,HAWKEYE VODKA,3180
2023-08-24,HAWKEYE VODKA,2276
2023-12-15,HAWKEYE VODKA,3751
2023-05-03,HAWKEYE VODKA,2615
2024-02-11,HAWKEYE VODKA,2180
2023-07-19,HAWKEYE VODKA,2600
2023-06-23,HAWKEYE VODKA,4186
